Sample,PP,Length,Width
bFF3,POLYETHYLENE GLYCOL 200,9.708,4.107
bFF3,POLYETHYLENE GLYCOL 400,11.807,5.904
bFF3,POLYETHYLENE GLYCOL 400,8.588,5.601
bFF3,POLYOXYETHYLENE(20) SORBITAN MONOOLEATE,16.369,6.864
bFF3,POLYOXYETHYLENE(20) SORBITAN MONOOLEATE,6.336,2.64
bFF3,POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,8.482,5.532
bFF3,Polypropylene 10. Black Battery Holder,11.807,9.446
bFF3,Polypropylene 10. Black Battery Holder,11.807,7.084
bFF3,Polypropylene 10. Black Battery Holder,9.708,6.721
bFF3,Polypropylene 15. Clear Cling Wrap,10.626,5.904
bFF3,Polypropylene 5. White Food Wrapper,18.891,10.626
bFF3,Polypropylene 5. White Food Wrapper,14.645,7.908
bFF3,Polypropylene 5. White Food Wrapper,9.334,7.841
bFF3,Polypropylene 5. White Food Wrapper,4.723,3.542
bFF3,Polypropylene 5. White Food Wrapper,4.723,4.723
bFF3,Polypropylene 8. White Bottle Cap,14.168,9.446
bFF3,Polypropylene 8. White Bottle Cap,12.523,9.184
bFF3,Polypropylene 8. White Bottle Cap,8.265,5.904
bFF3,Polypropylene Isotactic Chlorinated 32% Chlorine,5.009,1.67
bFF3,POLYSORBATE 80 STANDARD,10.019,6.679
bFF3,POLYSORBATE 80 STANDARD,3.696,2.64
bFF3,Polystyrene 11. Orange Printer Cartridge,13.703,6.787
bFF3,Polystyrene 11. Orange Printer Cartridge,11.617,10.032
bFF3,Polystyrene 13. Pink Spoon,30.243,13.815
bFF3,Polystyrene 13. Pink Spoon,10.626,9.446
bFF3,Polystyrene 3. White Foam Container,13.005,5.881
bFF3,Polystyrene 4. White Microsphere,49.424,27.797
bFF3,Polystyrene 6. Clear Glassware,5.894,3.275
bFF3,POLYSTYRENE HIGH IMPACT,14.561,5.601
bFF3,POLYSTYRENE HIGH IMPACT,14.168,12.988
bFF3,POLYSTYRENE HIGH IMPACT,7.084,4.723
bFF3,POLYSTYRENE HIGH IMPACT,6.679,5.009
bFF3,POLYSTYRENE HIGH IMPACT,4.224,3.168
bFF3,Polyvinyl Chloride 21. Green Slinky Toy,7.084,5.904
bFF3,Polyvinyl Chloride 8a. White Cable Cover,12.189,9.017
bFF3,POLYVINYLFORMAL,19.537,9.504
bFF3,POLYVINYLFORMAL,18.891,14.168
bFF3,POLYVINYLFORMAL,14.257,10.032
bFF3,POLYVINYLFORMAL,12.85,11.036
bFF3,POLYVINYLFORMAL,12.673,8.448
bFF3,POLYVINYLFORMAL,11.807,10.626
bFF3,POLYVINYLFORMAL,10.626,7.084
bFF3,POLYVINYLFORMAL,8.989,6.139
bFF3,POLYVINYLFORMAL,8.349,5.844
bFF3,POLYVINYLFORMAL,7.084,5.904
bFF3,POLYVINYLFORMAL,6.336,4.224
bFF3,POLYVINYLFORMAL,5.894,4.912
bFF3,SILICON(IV) OXIDE,18.241,13.681
bFF3,SILICON(IV) OXIDE,18.141,15.873
bFF3,SILICON(IV) OXIDE,17.811,14.705
bFF3,SILICON(IV) OXIDE,15.349,10.626
bFF3,SILICON(IV) OXIDE,14.752,8.298
bFF3,SILICON(IV) OXIDE,11.986,7.745
bFF3,SILICON(IV) OXIDE,11.168,6.873
bFF3,SILICON(IV) OXIDE,11.089,6.336
bFF3,SILICON(IV) OXIDE,10.884,7.71
bFF3,SILICON(IV) OXIDE,10.088,4.698
bFF3,SILICON(IV) OXIDE,9.922,5.67
bFF3,SILICON(IV) OXIDE,9.682,6.612
bFF3,SILICON(IV) OXIDE,9.446,5.904
bFF3,SILICON(IV) OXIDE,9.446,8.265
bFF3,SILICON(IV) OXIDE,9.209,8.989
bFF3,SILICON(IV) OXIDE,8.976,7.392
bFF3,SILICON(IV) OXIDE,8.349,6.679
bFF3,SILICON(IV) OXIDE,7.084,3.542
bFF3,SILICON(IV) OXIDE,7.084,7.084
bFF3,SILICON(IV) OXIDE,5.844,5.844
bFF3,SILICON(IV) OXIDE,5.567,4.912
bFF3,TAIKO CELLULOSE FILM,12.988,9.446
bFF3,TEFLON - Polytetrafluoroethylene,9.446,3.542
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
