Replicate,bull,Treatment,Time,Total,Motile
7,mastino,CT,0.5,81,24
7,mastino,CT,1,162,86
7,mastino,CT,1.5,164,31
7,mastino,CT,2,147,41
7,mastino,B0.3,0,265,178
7,mastino,B0.3,0.5,166,63
7,mastino,B0.3,1,144,43
7,mastino,B0.3,1.5,144,46
7,mastino,B0.3,2,159,30
7,mastino,B1.1,0,265,178
7,mastino,B1.1,0.5,169,39
7,mastino,B1.1,1,140,39
7,mastino,B1.1,1.5,141,79
7,mastino,B1.1,2,155,23
4,mastino,B0.05,0,265,178
4,mastino,B0.05,0.5,165,114
4,mastino,B0.05,1,143,73
4,mastino,B0.05,1.5,141,41
4,mastino,B0.05,2,162,24
4,mastino,B0.1,0,265,178
4,mastino,B0.1,0.5,145,55
4,mastino,B0.1,1,153,64
4,mastino,B0.1,1.5,170,61
4,mastino,B0.1,2,162,29
8,mastino,B0.05,0,175,139
8,mastino,B0.05,0.5,76,53
8,mastino,B0.05,1,98,75
8,mastino,B0.05,1.5,67,46
8,mastino,B0.05,2,101,56
8,mastino,B0.1,0,175,139
8,mastino,B0.1,0.5,88,57
8,mastino,B0.1,1,73,57
8,mastino,B0.1,1.5,89,55
8,mastino,B0.1,2,62,44
8,mastino,CT,0,175,139
8,mastino,CT,0.5,136,98
8,mastino,CT,1,100,64
8,mastino,CT,1.5,94,69
8,mastino,CT,2,58,30
3,sonora,CT,0,117,73
3,sonora,CT,0.5,138,80
3,sonora,CT,1,88,53
3,sonora,CT,2,163,78
3,sonora,B0.3,0,117,73
3,sonora,B0.3,0.5,132,64
3,sonora,B0.3,1,166,78
3,sonora,B0.3,1.5,147,50
3,sonora,B0.3,2,173,47
3,sonora,B1.1,0,117,73
3,sonora,B1.1,0.5,150,102
3,sonora,B1.1,1,163,103
3,sonora,B1.1,1.5,163,88
3,sonora,B1.1,2,161,45
2,goldfink,CT,0,92,63
2,goldfink,CT,0.5,138,51
2,goldfink,CT,1,165,69
2,goldfink,CT,1.5,157,69
2,goldfink,CT,2,141,58
2,goldfink,B0.3,0,92,63
2,goldfink,B0.3,0.5,171,116
2,goldfink,B0.3,1,144,79
2,goldfink,B0.3,1.5,147,78
2,goldfink,B0.3,2,172,122
2,goldfink,B1.1,0,92,63
2,goldfink,B1.1,0.5,156,56
2,goldfink,B1.1,1,163,98
2,goldfink,B1.1,1.5,160,51
2,goldfink,B1.1,2,140,81
