"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0A3Q1MU98",12.954139924652,9.25295708903714,2.85683740475548,0.0140763712581695,0.923592472790097,-4.24617508381224
"A0A3Q1LK49",3.98267157068881,2.84476540763486,0.938180574823341,0.366129832819882,1,-7.16406839513507
"Q56K14",-1.90980740552151,18.5419305902779,-0.593999230534679,0.563230520417207,1,-7.43490574626691
"A0A3Q1LVM5",3.92033717667227,2.8002408404802,0.93856927213312,0.365937911794511,1,-7.16370128471815
"Q3SZC0",-1.34734896677208,16.9295058884042,-0.455437648341393,0.656694519151813,1,-7.51157009499222
"Q32L35",1.82910511849656,1.30650365606897,0.626290112327321,0.542522418348869,1,-7.41428233891283
"P48427",-3.15265545688872,15.3102949374206,-0.81902502826617,0.428287398291382,1,-7.27028544642551
"Q862Q3",-1.49202284445749,7.33012725401503,-0.280606288505598,0.783655738292445,1,-7.58016056766395
"Q148C9",-0.929699366562667,13.0730260607982,-0.178708928380961,0.861063171532535,1,-7.60528394183614
"A0A3Q1LFZ6",-2.97576340671763,2.64812411620843,-0.744237600888045,0.470650903937209,1,-7.33034121939095
"A1A4Q4",-1.63870632207031,7.58143855700864,-0.298283679151414,0.770443491378575,1,-7.57468008564489
"Q3T0E0",-3.33011805955544,15.6015639515059,-0.852381039697992,0.410221128819016,1,-7.24183695407139
"P80311",-8.72069386655817,11.5278169732383,-1.81226249563397,0.0943035686284582,0.923592472790097,-6.05258410997545
"Q3T0L2",3.55570699862917,11.2605339857262,0.685062912482994,0.505953409604525,1,-7.37412848072154
"A0A3Q1LWD5",-0.0145826673193389,9.0716784761853,-0.00255030353762791,0.998005869435318,1,-7.62247849743943
"Q32KP9",-1.81312901043887,17.3907852617758,-0.602357187038428,0.557829607399112,1,-7.42966635025305
"F1N719",3.51418011349679,2.51012865249771,0.939434922617205,0.365510746832485,1,-7.16288323596845
"Q28194",1.76001342448329,1.25715244605949,0.626289854357462,0.54252258206641,1,-7.41428250776958
"O18789",-2.67604450181051,11.375732942948,-0.506029871297407,0.621742974881047,1,-7.48582594387449
"O97764",0.977475476828005,4.72220653062361,0.208112364624959,0.838532346419146,1,-7.59916982182725
"A0A3Q1LWN4",0.996384425171723,13.4951807963278,0.224767575615366,0.825834437150094,1,-7.59529709533311
"Q3ZBW4",4.27082993448578,7.52504634197025,0.80025572707013,0.438679112644933,1,-7.28584552602346
"A0A3Q1MKR2",-0.878522905466584,12.2792631109313,-0.179843745340513,0.860191096507124,1,-7.60506511685337
"Q3ZCJ7",-2.69919061824742,11.2890917159099,-0.514026213815821,0.616302601084652,1,-7.48151875402986
"Q95L14",3.41202375946525,2.43715982818947,0.939394553974797,0.365530659405364,1,-7.16292139928177
"Q3SZ32",-5.193874014114,4.97235812132582,-1.09904736992376,0.292701743145783,1,-7.00115327012233
"Q2TBR3",2.68903019966669,6.24544453440841,0.514968485307681,0.615663069779178,1,-7.48100694220421
"E1BH22",-2.29000251089433,8.12614951842289,-0.389232072776669,0.703729771278345,1,-7.54129043660991
"A3KMV6",-4.8580217329464,4.82848006045729,-1.05465659407104,0.311769781518639,1,-7.04826828109229
"Q3ZC44",4.22461091816424,7.28928087507185,0.818305716886818,0.428682659133911,1,-7.27088773718585
"P81287",-1.07296562135349,3.66452806484617,-0.243254629890119,0.811799887452065,1,-7.59065242252918
"F1MJQ1",-8.71166065345964,10.9432257732524,-1.93560751140575,0.0761324987661473,0.923592472790097,-5.85864958272871
"A7MB62",-1.78153613452838,7.45051039949805,-0.330218139279329,0.746767023105852,1,-7.56394412681353
"A0A3Q1LFQ2",2.54246735768214,6.14789790095842,0.494253260897633,0.629797749521587,1,-7.49205132519425
"Q08DU3",-3.3301519517944,6.10172843057052,-0.657122002172008,0.5231549141834,1,-7.39363635995809
"A0A3Q1MLR0",4.44549016464019,7.65517674750294,0.819304495510528,0.42813389571229,1,-7.27005131608857
"A2VE47",3.3809311597903,2.41495082842164,0.939401658173469,0.365527155073901,1,-7.16291468328675
"P22292",0.925359806723028,4.74084309701522,0.196299482733281,0.847567472502838,1,-7.6017371971798
"A5PK45",-2.63029216421528,11.0162025168547,-0.513560394084504,0.616618879836617,1,-7.48177144075231
"P12344",5.27027331585852,3.76448093989894,1.2287277509392,0.242063382188601,1,-6.85454588002099
"CON__Q5D862",0.957515295446646,8.59216402698997,0.174639702776074,0.864191817020316,1,-7.60605727336405
"F1MLG1",1.70359938432261,9.48183150122135,0.3308449119798,0.7463049173571,1,-7.56372267985254
"A6H7A2",1.68776164270874,1.20554403050624,0.626289549990628,0.542522775229282,1,-7.41428270699585
"A3KN22",-0.946209564942386,3.61879181323596,-0.217220236581414,0.831582403486215,1,-7.59708867197388
"Q05752",-3.35284145161484,5.9481242217806,-0.679462841664872,0.509374025497875,1,-7.37809879467829
"Q2KJH7",-4.10303707829289,9.79153817146074,-0.786937415230388,0.446150959054415,1,-7.29668937368086
"E1B844",2.54864159757908,5.99870376451063,0.508015720928764,0.620389696279678,1,-7.48476231920009
"Q32KL2",1.68052851806016,1.20037751290011,0.626289517340481,0.54252279595032,1,-7.41428272836732
"P15690",0.0243226440465494,8.64842229815372,0.00446482912519288,0.996508874120091,1,-7.62247125565461
"Q3SZC4",-0.833457591295552,3.58737950617658,-0.19295478895116,0.85012983624127,1,-7.60243704905774
"Q2KJH4",8.84260555360951,6.3161468240068,1.87701328505136,0.0843247673717906,0.923592472790097,-5.95166131625808
"Q3T035",-3.53608009977406,6.14916345933204,-0.693623356768703,0.500750923967265,1,-7.36800100807517
"A0A3Q1MQM3",-2.46670559919238,2.38191740961541,-0.683925359136017,0.506647143761643,1,-7.37493742349267
"F1MSQ9",-3.44331649061895,6.11411800156642,-0.678800880253373,0.509779261545577,1,-7.37856611146392
"F6QHI8",3.35056406624854,2.39326004732039,0.939435328733554,0.365510546512022,1,-7.16288285203092
"Q08DP0",3.3463042177963,2.39021729842593,0.939434491288886,0.365510959589059,1,-7.16288364374091
"A6QR35",0.732095820001921,4.88523802855845,0.150596003927489,0.882725089242791,1,-7.61026466318205
"A0A3Q1N4G7",1.6651671876733,1.18940513405236,0.626289446583162,0.542522840855636,1,-7.4142827746822
"P61282",-0.885184254114806,3.65594953793641,-0.201069270140402,0.8439164893019,1,-7.60071848154736
"C1JZ66",-4.43077037184473,9.70078265224103,-0.862093366023478,0.405057760225933,1,-7.23336368185537
"Q3ZBF6",2.69474412256183,6.05332196277919,0.53235565921409,0.603921522630743,1,-7.47140186977367
"P17248",1.65659908990594,1.18328506421853,0.6262894062589,0.542522866446964,1,-7.41428280107682
"A0A3Q1MHX8",-12.2836581905932,8.63039548403996,-2.94875964039174,0.0118422164433896,0.923592472790097,-4.07537722753969
"Q0ZCB4",3.34719976579132,2.39085697556523,0.93936436148395,0.365545552902925,1,-7.16294994143552
"F1MKF8",5.01370724801656,3.58121946286897,1.22942500605579,0.241811015058977,1,-6.85372263192872
"A0A3Q1LJX0",1.64847947547236,1.17748533962311,0.626289367463643,0.542522891067928,1,-7.41428282647062
"F1MDH3",2.40137020114943,5.9538962739092,0.481732314306472,0.638416277871352,1,-7.49851557129306
"E1B9H3",-7.3518819625289,7.12299781507471,-1.55087832911358,0.146157313690746,1,-6.43777020726656
"F1MNF8",-7.3408241088053,3.7429781025728,-1.83204405359947,0.0911473166128579,0.923592472790097,-6.02196573730072
"REV__Q9BDV1",0.935578740102235,4.62350050743003,0.203525593723319,0.842037787962875,1,-7.60018439031807
"A0A3Q1NDF8",1.64107068941002,1.17219334957858,0.626289331561102,0.542522913853064,1,-7.41428284997097
"A6QQX0",3.4143384151235,2.43881315365964,0.938507109941073,0.365968599908522,1,-7.16376000349108
"Q4U5R4",-1.06868191186206,3.68515203363356,-0.240864544977545,0.813610622606384,1,-7.5912733703588
"A0A3S5ZP98",0.966331279540025,13.7707333457961,0.213243917006864,0.834614828643349,1,-7.5980081430778
"F1N7I1",1.63309925366894,1.16649946690638,0.626289292384997,0.542522938715729,1,-7.41428287561405
"A0A3Q1NNJ3",-1.62183147457326,7.0497021744846,-0.317572004204748,0.75611240550378,1,-7.56832397690173
"E1B8G9",6.63356751963833,4.73826251402738,1.53383585418441,0.150269255123631,1,-6.46152923006768
"A0A3Q1NLQ9",1.62800264958081,1.16285903541487,0.626289267035284,0.542522954803635,1,-7.41428289220694
"E1B7W1",-1.31206591261492,7.34713336408196,-0.24554035391166,0.810069275377797,1,-7.59005290738615
"P05689",3.38651386130049,2.41893847235749,0.93846917234118,0.365987329759147,1,-7.16379583791544
"P00432",1.62098735668205,1.15784811191575,0.626289231750473,0.542522977196736,1,-7.41428291530294
"F6PZJ9",6.62214063813458,4.73010045581041,1.53386745362506,0.150261540032684,1,-6.46148534169832
"F1MX61",1.6187605583146,1.15625754165329,0.626289220454316,0.542522984365713,1,-7.41428292269695
"A6QLX2",4.87453478963249,3.4818105640232,1.22999892763312,0.241603444004418,1,-6.85304472974671
"A0A3Q1LV94",-0.660588138554663,3.45023025730819,-0.158897850312558,0.876317122373736,1,-7.60888194948113
"A7MBI6",0.818301664907146,4.66032715228017,0.176561622694862,0.862713836635771,1,-7.605694232616
"A0A3Q1LZ31",1.61506200767661,1.15361571976901,0.626289201588869,0.542522996338454,1,-7.4142829350455
"E1B838",3.3448516084748,2.38917972033914,0.938712407753654,0.365867255739604,1,-7.16356606515322
"Q3SYW6",1.61242813517934,1.15173438227096,0.626289188074881,0.542523004914952,1,-7.41428294389121
"G3MXK6",1.60813924796163,1.14867089140116,0.626289165927014,0.542523018970843,1,-7.4142829583883
"F1N1H2",1.60769220597111,1.14835157569365,0.626289163608278,0.542523020442402,1,-7.41428295990605
"A0A3Q1MEC5",1.5958303520805,1.13987882291464,0.626289101369086,0.542523059941796,1,-7.41428300064528
"Q3T102",1.58959515991563,1.13542511422545,0.626289068092901,0.542523081060149,1,-7.41428302242651
"A0A3Q1MJY0",3.21967101158291,2.2997650082735,0.939321542009003,0.365566675830902,1,-7.16299041901307
"F1N0F7",1.58168284738048,1.12977346241463,0.626289025298343,0.542523108219229,1,-7.41428305043808
"E1B6Z7",1.58080218151783,1.12914441536987,0.626289020495389,0.542523111267369,1,-7.41428305358189
"A0A3Q1MKI3",1.58053852481379,1.12895608915271,0.626289019055903,0.542523112180923,1,-7.41428305452412
"A0A3Q1MNT6",3.25283613438222,2.32345438170159,0.938805812136506,0.365821153686492,1,-7.16347781682652
"A6H732",1.57235095129648,1.12310782235463,0.626288973993185,0.542523140779466,1,-7.41428308402033
"A8YXX8",1.56459335989525,1.11756668563946,0.626288930642673,0.542523168291377,1,-7.4142831123958
"A0A3Q1N3E8",3.17528795448113,2.26806282462938,0.939251149833337,0.365601402287087,1,-7.16305695780168
"Q2NL36",1.55384016356325,1.10988583111661,0.626288869475167,0.542523207110644,1,-7.41428315243354
"A0A6B9SE69",1.53837278198562,1.0988377014183,0.626288779232372,0.542523264382218,1,-7.41428321150276
"E1BEN4",1.52519893498883,1.08942781070631,0.626288700196085,0.542523314541709,1,-7.41428326323665
"Q95KK9",1.51647888408943,1.08319920292102,0.62628864674354,0.542523348464769,1,-7.41428329822448
"A0A3Q1MKD0",1.51552325640422,1.0825166117173,0.626288640829529,0.54252335221803,1,-7.41428330209555
"F1MM36",1.5151907804282,1.08227912887729,0.626288638769339,0.542523353525506,1,-7.41428330344407
"Q32PC9",1.5129638121275,1.08068843723393,0.626288624934881,0.54252336230539,1,-7.41428331249953
"Q2KIW9",1.50573605517776,1.0755257536984,0.62628857961065,0.542523391069907,1,-7.4142833421669
"A0A3Q1MCR4",1.50516793407211,1.07511995290865,0.626288576020341,0.542523393348457,1,-7.41428334451697
"Q1LZF6",1.50045925707987,1.07175661219991,0.626288546106145,0.542523412333168,1,-7.41428336409756
"F1N1G7",1.50004033612089,1.07145738294349,0.626288543431088,0.542523414030863,1,-7.41428336584854
"F1N6Y7",1.49959185318005,1.07113703798575,0.626288540564776,0.542523415849935,1,-7.41428336772471
"G3MYP5",1.4880675169817,1.06290536927264,0.626288466020016,0.542523463158938,1,-7.41428341651862
"A0A3Q1LQ85",1.47963594270783,1.05688281621988,0.626288410373811,0.542523498474184,1,-7.41428345294232
"Q2TBU9",-6.50262252863853,3.46580768950126,-1.7351067379106,0.107574054123753,0.923592472790097,-6.17013415774468
"P00125",-8.78368808580147,2.50962516737185,-2.96998259493983,0.0113786653108767,0.923592472790097,-4.03580718992659
