p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
0.535657104,0.070759292,-0.992722655,n.s.,A0A3Q1LV36;F1MPE5;Q3B7N3,A0A3Q1LV36;F1MPE5,IPO5,9
1,1,0.099503656,n.s.,A0A3Q1LV65;Q24JZ4;A0A3Q1MQI0,A0A3Q1LV65;Q24JZ4;A0A3Q1MQI0,MTDH,8
1,1,0.060063555,n.s.,A0A3Q1LVJ8;A0A3Q1M2E2;F1MLU7;A7MB48;A0A3Q1LVS2,A0A3Q1LVJ8;A0A3Q1M2E2;F1MLU7;A7MB48;A0A3Q1LVS2,KTN1,10
1,1,0.184326391,n.s.,A0A3Q1LVT9;Q2KJ86,A0A3Q1LVT9;Q2KJ86,PUDP,3
1,0.541474585,-0.508292893,n.s.,A0A3Q1LW69;E1BJ59;A0A3Q1MR95;A0A3Q1MAS9,A0A3Q1LW69;E1BJ59;A0A3Q1MR95;A0A3Q1MAS9,ATXN2L,6
1,0.710458481,-0.359910404,n.s.,A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,JPT2,8
1,0.856324498,0.158209754,n.s.,A0A3Q1LWF3;A0A3Q1M9U0;A0A3Q1N8S4;F1MPR3;Q5MA64;Q0VCY0;A0A3Q1MU86;A0A3Q1N127;A0A3Q1MTP9;E1BMQ6,A0A3Q1LWF3;A0A3Q1M9U0;A0A3Q1N8S4;F1MPR3,ATP2A2,26
0.996624643,0.457134251,0.357169364,n.s.,A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,NDUFV3,7
0.449901431,0.04195958,-2.196533483,n.s.,A0A3Q1LX11;F1MYG6;A0A3Q1MNU7,A0A3Q1LX11;F1MYG6;A0A3Q1MNU7,RBM26,2
1,0.479560333,0.373575785,n.s.,A0A3Q1LXV4;F1N151;A5PKE2;A0A3Q1MIT7,A0A3Q1LXV4;F1N151;A5PKE2;A0A3Q1MIT7,DNAJC10,4
1,1,-0.103636812,n.s.,A0A3Q1LY89;A0A3Q1MG00,A0A3Q1LY89;A0A3Q1MG00,MYEF2,13
0.929920964,0.323776762,0.73231718,n.s.,A0A3Q1LZ47;Q2HJ65,A0A3Q1LZ47;Q2HJ65,MACROH2A1,10
0.535657104,0.066103945,-0.563648336,n.s.,A0A3Q1LZU8;A6QNJ8;A0A3Q1N1T6;F1N6Y1,A0A3Q1LZU8;A6QNJ8;A0A3Q1N1T6;F1N6Y1,GANAB,33
0.696931121,0.137605448,0.889505118,n.s.,A0A3Q1M0T4;Q3SYT9;A0A3Q1MDS1;A0A3Q1LPY4;A0A3Q1LX34;A0A3Q1MU31;A0A3Q1MTU9;Q17QV0;A0A3Q1N8C6,A0A3Q1M0T4;Q3SYT9;A0A3Q1MDS1;A0A3Q1LPY4;A0A3Q1LX34;A0A3Q1MU31;A0A3Q1MTU9;Q17QV0,PCBP2,12
0.666870354,0.121601214,-0.315598438,n.s.,A0A3Q1M0V8;A0A140T8A4;Q1JPJ8,A0A3Q1M0V8;A0A140T8A4;Q1JPJ8,THOP1,25
1,0.99282367,-0.100736871,n.s.,A0A3Q1M119;P62261;A0A3Q1MP67,A0A3Q1M119;P62261;A0A3Q1MP67,YWHAE,18
0.535657104,0.072480098,0.662061508,n.s.,A0A3Q1M155;Q3SYZ5;F1MBQ8,A0A3Q1M155;Q3SYZ5;F1MBQ8,DDX5,27
1,0.912527581,-0.029284615,n.s.,A0A3Q1M1U2;A5D973;A0A3Q1LW84;Q32PI5;Q7M2R6,A0A3Q1M1U2;A5D973;A0A3Q1LW84;Q32PI5,PPP2R1A,19
0.964256119,0.370516295,0.850551428,n.s.,A0A3Q1M278;P62194;A0A3Q1LPN6;A0A3Q1LMS2;F1MFP1;A0A3Q1LSW3;A0A3Q1MIV9,A0A3Q1M278;P62194;A0A3Q1LPN6,PSMC5,7
1,0.569848965,0.058855087,n.s.,A0A3Q1M3Q7;F1MEN8;Q29RV1,A0A3Q1M3Q7;F1MEN8;Q29RV1,PDIA4,52
1,0.639236901,0.232973918,n.s.,A0A3Q1M3Z5;F1MMR6;Q9BGU5;P80209;A1YZD1,A0A3Q1M3Z5;F1MMR6;Q9BGU5;P80209,CTSD,11
0.466398118,0.050919191,0.753321677,n.s.,A0A3Q1M4I4;Q8SQ21;A0A3Q1MXK6,A0A3Q1M4I4;Q8SQ21;A0A3Q1MXK6,HINT2,3
1,0.798836967,0.05026386,n.s.,A0A3Q1M4M4;P13619;A0A3Q1MP66,A0A3Q1M4M4;P13619,ATP5PB,8
1,1,-0.011910885,n.s.,A0A3Q1M4T2;Q5EAD4,A0A3Q1M4T2;Q5EAD4,ACADSB,6
1,0.779148958,0.039834532,n.s.,A0A3Q1M5Q6;A0A3Q1MCW2;A5PJT7;A0A3S5ZPB5,A0A3Q1M5Q6;A0A3Q1MCW2;A5PJT7;A0A3S5ZPB5,ECM1,17
