p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
0.024364342,3.00E-04,1.466167901,more abundant,A0A3Q1M155;Q3SYZ5;F1MBQ8,A0A3Q1M155;Q3SYZ5;F1MBQ8,DDX5,27
0.024364342,2.95E-04,3.449166504,more abundant,E1BKT9;A0A3Q1MR22,E1BKT9;A0A3Q1MR22,DSP,54
0.01642062,1.47E-04,0.679247016,more abundant,E1BQ37;A0A3Q1LXA1,E1BQ37;A0A3Q1LXA1,SFPQ,30
0.039457462,5.72E-04,1.389840139,more abundant,F1MQU4;A0A3Q1MP92;A0A3Q1LRT1;A0A3Q1LVH1;A5D7B8,F1MQU4;A0A3Q1MP92;A0A3Q1LRT1;A0A3Q1LVH1;A5D7B8,BCLAF1,13
1.80E-08,2.02E-11,1.818596871,more abundant,P01096,P01096,ATP5IF1,13
0.001510238,8.47E-06,1.288504383,more abundant,P48427,P48427,TBCA,8
0.002973304,2.00E-05,4.23367232,more abundant,Q03763;F1MIW8,Q03763;F1MIW8,DSG1,4
0.00388284,3.05E-05,0.959169501,more abundant,Q5KR49;A0A3Q1LPQ6,Q5KR49;A0A3Q1LPQ6,TPM1,30
0.89922344,0.447595524,0.654673529,n.s.,A0A140T832;A5PK63,A0A140T832;A5PK63,RPS17,4
0.99120405,0.706732933,0.370633759,n.s.,A0A140T842;Q59HJ6;A0A3Q1LU64,A0A140T842;Q59HJ6;A0A3Q1LU64,LONP1,12
0.509751405,0.121723149,0.459973296,n.s.,A0A140T854;A0A3Q1MEC8;O18879;E1BGC0;E1BKD8,A0A140T854;A0A3Q1MEC8,GSTA1,25
0.989702733,0.686496757,-0.110458128,n.s.,A0A140T856;Q27954;A0A3Q1MCV5,A0A140T856;Q27954;A0A3Q1MCV5,COPA,21
1,1,0.033450576,n.s.,A0A140T892;P51176;A0A3Q1MI90,A0A140T892;P51176;A0A3Q1MI90,TGM2,16
1,0.825386373,-0.069909077,n.s.,A0A140T8A5;Q9XSG3;Q0QEQ4,A0A140T8A5;Q9XSG3;Q0QEQ4,IDH1,17
0.943512628,0.529374706,-0.443068979,n.s.,A0A3Q1LFQ2,A0A3Q1LFQ2,-,14
0.419176767,0.058717481,0.942844072,n.s.,A0A3Q1LG34;A6QLZ8;A0A3Q1MMX8;A6QP50,A0A3Q1LG34;A6QLZ8;A0A3Q1MMX8,CORO6,11
0.162809365,0.00778641,0.459461193,n.s.,A0A3Q1LHT7;F1MDC1,A0A3Q1LHT7;F1MDC1,RRBP1,55
0.989702733,0.696393036,-0.338943142,n.s.,A0A3Q1LI18;A6QLT5;A1L505,A0A3Q1LI18;A6QLT5;A1L505,UBAP2L,5
1,0.967032701,-0.100061732,n.s.,A0A3Q1LJ64;A0A3Q1NES2;Q0VCX4,A0A3Q1LJ64;A0A3Q1NES2;Q0VCX4,CTNNB1,10
0.664091223,0.214371342,0.202056212,n.s.,A0A3Q1LJE7;E1BA27,A0A3Q1LJE7;E1BA27,GLMN,3
0.777168669,0.328467027,0.361949681,n.s.,A0A3Q1LJU0;P62871;A7E3V7,A0A3Q1LJU0;P62871;A7E3V7,GNB1,10
0.687241988,0.228517715,0.638281384,n.s.,A0A3Q1LJX0;A0A3Q1N1V2;F1MJ59;Q2T9R6,A0A3Q1LJX0;A0A3Q1N1V2;F1MJ59;Q2T9R6,NIT2,2
0.249295341,0.021519889,0.318888357,n.s.,A0A3Q1LK04;P23356;A0A3Q1LL01;A0A3Q1LTS2;A0A3Q1M8I6;J7JXJ4,A0A3Q1LK04;P23356;A0A3Q1LL01;A0A3Q1LTS2;A0A3Q1M8I6;J7JXJ4,UCHL1,27
0.967823646,0.629673703,0.516502988,n.s.,A0A3Q1LKV8;Q0II43;F1MLV3;A0A3Q1ME81,A0A3Q1LKV8;Q0II43;F1MLV3;A0A3Q1ME81,TXNL1,6
0.265869699,0.023579764,1.699047272,n.s.,A0A3Q1LMC1;A3KMY8;A0A3Q1MDD4;A0A3Q1NB19;A0A3Q1NKM6,A0A3Q1LMC1;A3KMY8;A0A3Q1MDD4,GUSB,11
